NO_OF_SAMPLES	24000
FREQUENCY	1200
TIME_STAMP	2020-01-28, 14:27:43.885	5208.83582520
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti Gen 5
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Amti Optima BMS400600HF-2K 11053M
FORCE_PLATE_CORNER_POSX_POSY_X	353.011101
FORCE_PLATE_CORNER_POSX_POSY_Y	1295.030594
FORCE_PLATE_CORNER_POSX_POSY_Z	-2.601500
FORCE_PLATE_CORNER_NEGX_POSY_X	747.085989
FORCE_PLATE_CORNER_NEGX_POSY_Y	1294.596434
FORCE_PLATE_CORNER_NEGX_POSY_Z	-2.692300
FORCE_PLATE_CORNER_NEGX_NEGY_X	746.431708
FORCE_PLATE_CORNER_NEGX_NEGY_Y	700.785577
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-2.136100
FORCE_PLATE_CORNER_POSX_NEGY_X	352.357000
FORCE_PLATE_CORNER_POSX_NEGY_Y	701.219738
FORCE_PLATE_CORNER_POSX_NEGY_Z	-2.045300
FORCE_PLATE_OFFSET_X	0.000000
FORCE_PLATE_OFFSET_Y	0.000000
FORCE_PLATE_OFFSET_Z	0.000000
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
103	0.08500	-3.055542	-4.118164	-13.723633	-2.556030	-1.960571	-1.487305	-142.860955	186.250267	0.000000	
104	0.08583	-3.234619	-4.116943	-13.721680	-2.556030	-1.897095	-1.580444	-138.255284	186.276777	0.000000	
105	0.08667	-3.236938	-4.207520	-11.906738	-2.595703	-2.108154	-1.580811	-177.055567	218.002871	0.000000	
106	0.08750	-3.236694	-4.387207	-13.356445	-2.722656	-2.107300	-1.636414	-157.774000	203.845873	0.000000	
107	0.08833	-3.501953	-3.934937	-13.720703	-2.474365	-2.152222	-1.543152	-156.859431	180.338078	0.000000	
108	0.08917	-3.595459	-4.564697	-13.714355	-2.451172	-2.260498	-1.636353	-164.827144	178.730373	0.000000	
109	0.09000	-3.327026	-4.206787	-11.180176	-2.418335	-2.076904	-1.581055	-185.766694	216.305630	0.000000	
110	0.09083	-3.504028	-4.205078	-13.355469	-2.508423	-2.222412	-1.599121	-166.404650	187.819903	0.000000	
111	0.09167	-3.056274	-4.118164	-12.997559	-2.599731	-2.100952	-1.394287	-161.642060	200.016905	0.000000	
112	0.09250	-2.964966	-3.758789	-12.638672	-2.656860	-1.992859	-1.599304	-157.679454	210.216736	0.000000	
113	0.09333	-3.593994	-4.114746	-12.266113	-2.466797	-2.191284	-1.580750	-178.645356	201.106644	0.000000	
114	0.09417	-3.415405	-4.475586	-14.080078	-2.277710	-2.428711	-1.599060	-172.492717	161.768276	0.000000	
115	0.09500	-3.592896	-3.934692	-12.268066	-2.517578	-2.051270	-1.580750	-167.203980	205.213930	0.000000	
116	0.09583	-3.233521	-4.116699	-14.810059	-2.600952	-2.281860	-1.561584	-154.075039	175.620652	0.000000	
117	0.09667	-3.597534	-4.565186	-11.537598	-2.449829	-2.121460	-1.636780	-183.873630	212.334420	0.000000	
118	0.09750	-3.415039	-4.295898	-13.355469	-2.593506	-2.113892	-1.580505	-158.279102	194.190553	0.000000	
119	0.09833	-2.964233	-3.758667	-13.364746	-2.613037	-2.027588	-1.599121	-151.711666	195.517153	0.000000	
120	0.09917	-2.786499	-4.029785	-13.727051	-2.382202	-2.055908	-1.487305	-149.770569	173.540711	0.000000	
121	0.10000	-3.149414	-4.748047	-13.354980	-2.576782	-2.068848	-1.487366	-154.912069	192.945413	0.000000	
122	0.10083	-3.956299	-4.742920	-11.895020	-2.399170	-2.099365	-1.524963	-176.491113	201.695333	0.000000	
123	0.10167	-3.327026	-4.656494	-14.079590	-2.669067	-2.040161	-1.580383	-144.902029	189.569967	0.000000	
124	0.10250	-3.147217	-4.117920	-11.545898	-2.466064	-2.070068	-1.543579	-179.290366	213.587922	0.000000	
125	0.10333	-3.412964	-3.845825	-12.633301	-2.476929	-2.044556	-1.599304	-161.838596	196.063464	0.000000	
126	0.10417	-3.325317	-4.206543	-12.994629	-2.286987	-2.110840	-1.692383	-162.439409	175.994815	0.000000	
127	0.10500	-3.324219	-4.026367	-12.995605	-2.735718	-2.251099	-1.506104	-173.219989	210.510990	0.000000	
128	0.10583	-3.412231	-3.665771	-12.271973	-2.571777	-2.219727	-1.543457	-180.877730	209.565114	0.000000	
129	0.10667	-3.144287	-4.027344	-14.086426	-2.603760	-2.068848	-1.580383	-146.868176	184.841762	0.000000	
130	0.10750	-3.324829	-4.385986	-14.807129	-2.458374	-2.214966	-1.505676	-149.587799	166.026381	0.000000	
131	0.10833	-3.323242	-3.936157	-13.359375	-2.739258	-2.075684	-1.599121	-155.372807	205.043860	0.000000	
132	0.10917	-2.972412	-5.019531	-12.991699	-2.699097	-2.027588	-1.450256	-156.067952	207.755478	0.000000	
133	0.11000	-3.329102	-4.926514	-13.714355	-2.481934	-2.250488	-1.617737	-164.097269	180.973404	0.000000	
134	0.11083	-3.416260	-4.206299	-11.541992	-2.462891	-2.184937	-1.599548	-189.303241	213.385227	0.000000	
135	0.11167	-3.503296	-4.205078	-14.081055	-2.729980	-2.081909	-1.505859	-147.851793	193.876136	0.000000	
136	0.11250	-2.877441	-4.209473	-13.362305	-2.552246	-2.129150	-1.580505	-159.340057	191.003435	0.000000	
137	0.11333	-3.147461	-4.567627	-14.082031	-2.672363	-2.208740	-1.561768	-156.848128	189.771151	0.000000	
138	0.11417	-3.325684	-4.386230	-13.718750	-2.546143	-2.180420	-1.524536	-158.937215	185.595814	0.000000	
139	0.11500	-3.059570	-4.748535	-13.718750	-2.665405	-2.065430	-1.617737	-150.555239	194.289223	0.000000	
140	0.11583	-3.234375	-4.026855	-13.359375	-2.470581	-2.072388	-1.580505	-155.126096	184.932383	0.000000	
141	0.11667	-3.233398	-3.756836	-12.636230	-2.391479	-2.002930	-1.524841	-158.506897	189.255767	0.000000	
142	0.11750	-3.061035	-4.658936	-11.542480	-2.667236	-2.101563	-1.655396	-182.072000	231.079995	0.000000	
143	0.11833	-3.414185	-4.385498	-14.806641	-2.635498	-2.253418	-1.561584	-152.189685	177.994328	0.000000	
144	0.11917	-3.413208	-4.205322	-14.807617	-2.465210	-2.113281	-1.505676	-142.715821	166.482556	0.000000	
145	0.12000	-3.682983	-4.203857	-13.353516	-2.508423	-2.088867	-1.599121	-156.428258	187.847375	0.000000	
